ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;United States;16/03/2020;;Governor Hogan held a press conference in the late morning of March 16, where he announced an executive order that will require all bars, restaurants, gyms, and movie theaters in the state to close at 5:00 p.m. that day;;;Maryland;limited nonessential business suspension, restaurant limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Government_response;;;;
;;United States;16/03/2020;;the closure of K-12 public schools;;;New Hampshire;school closure;;https://www.governor.nh.gov/news-media/emergency-orders/index.htm;;;;
;;United States;16/03/2020;;limit on gatherings of more than fifty peopl;;;New Hampshire;indoor gatherings banned, outdoor gatherings banned;50;https://www.governor.nh.gov/news-media/emergency-orders/index.htm;;;;
;;United States;16/03/2020;;closure of restaurants and bars except for takeout and deliver;;;New Hampshire;restaurant limitations;;https://www.governor.nh.gov/news-media/emergency-orders/index.htm;;;;
;;United States;16/03/2020;;Boston Mayor Marty Walsh ordered construction projects to shut down;;Boston;Massachussets;activity cancellation - other;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts;;;;
;;United States;16/03/2020;;governor Lamont ordered all schools to close after March 16;;;Connecticut;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut;;;;
;;United States;16/03/2020;;bars and restaurants will be ordered to close to dine-in customers in those counties;;Beaver County, Butler County, Centre County, Westmoreland County;Pennsylvania;restaurant limitations;;;;;;
;;United States;16/03/2020;20/04/2020;Cuomo announced that New York City schools would close the following day through April 20;;New York City;New York;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
294;;Luxembourg;16/03/2020;27/03/2020;All schools closed, including pre-schools;;;;nursery school closure, school closure, university closure;;https://today.rtl.lu/news/luxembourg/a/1482367.html;;;;
;;United States;16/03/2020;01/05/2020;public schools to close;;;Alaska;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska;;;;
308;;Monaco;16/03/2020;;All educational institutions are closed, including pre-chools;;;;nursery school closure, school closure, university closure;;https://en.gouv.mc/Policy-Practice/Social-Affairs-and-Health/News/CORONAVIRUS-The-Prince-s-Government-has-Decided-to-Close-Creches-and-Educational-Establishments-from-Monday;;;;
;;Georgia;16/03/2020;30/03/2020;The government of Georgia banned entrance to Georgia for any foreign nationals for the next two weeks.;;;;international travel ban - all countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;;;
;;Morocco;16/03/2020;;All schools shut down until further notice;;;;school closure, university closure;1;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Morocco;;;;
292;;Lithuania;16/03/2020;30/03/2020;All indoor and outdoor public events cancelled.;;;;outdoor gatherings banned;50;https://translate.google.com/translate?sl=auto&tl=en&u=https%3A%2F%2Fwww.lrt.lt%2Fnaujienos%2Flietuvoje%2F2%2F1151427%2Fskvernelis-pranese-kad-sestadieni-bus-priimtas-sprendimas-del-karantino-salies-mastu;;;;
281;;Hungary;16/03/2020;;Budapest Zoo and Botanical Garden as well as every thermal baths will remain closed from 16th March;;Budapest;;limited nonessential business suspension, sports cancellation;;https://index.hu/belfold/2020/03/14/hetfotol_fokozatosan_bezarnak_a_fovarosi_ovodak/;;;;
445;;Norway;16/03/2020;;On 16 March travel ban was extended to all borders of Norway and Nordic non-Norwegian citizens.;;;;international travel ban - all countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Norway;;all countries;;
799;;Albania;16/03/2020;;"Television stations were banned from having more than two people in the same room for a talk show, on the pain of a 1 million lek fine (8300 euros). Private hospitals that refuse to offer capacities were to be fined up to 5 million lek (40000 euros). Any trade in food or medicine that did not comply with the specified government safety regulations to combat infections risked a fine of up to 10 million lek (83000 euros). The legislation, called a ""normative act"", is an emergency law taking effect without prior approval by parliament. Furthermore, a national curfew was imposed: each day, all citizens were required to return to stay in their homes from 18:00 onward, as well as a ban on sitting in public places. Those found in violation will be fined";;;;compulsory isolation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
593;;Russia;16/03/2020;;"Russia has closed its border with neighboring Belarus as a ""proactive step"" to halt the coronavirus' spread, the state-run TASS news agency quoted Prime Minister Mikhail Mishustin as saying.";;;;international travel ban - risk countries;;https://www.themoscowtimes.com/2020/03/18/coronavirus-in-russia-the-latest-news-march-18-a69117;;Belarus;;
618;;United States;16/03/2020;16/04/2020;ban on gatherings of more than 25 people;;;Oregon;outdoor gatherings banned;25;https://www.livescience.com/oregon-coronavirus-updates.html;;;;
;;Iceland;16/03/2020;;At 11:00 on 13 March, it was announced at a press conference that universities and secondary schools would be closing as of Monday 16 March, on which day a ban on public gatherings of over 100 would be put in place;;;;outdoor gatherings banned;100;;;;;
257;;Finland;16/03/2020;13/04/2020;Preparations for the shutdown of borders will start, and citizens or permanent residents returning to Finland will be placed under a 2-week quarantine;;;;international traveller quarantine - all countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Finland;;all countries;;
;;Switzerland;16/03/2020;19/04/2020;"the Federal Council has declared an ""extraordinary situation"" and introduces stringent measures such as closing all shops, restaurants, bars, entertainment and leisure facilities, or carful screening at borders with Austria, Germany and France. The Federal Council has also authorised the deployment of up to 8000 members of the armed forces to assist the cantons at hospitals and with logistics and security.";;;;army deployed, general nonessential business suspension, public announcement, state of emergency;;https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-78454.html;;;;
;;United States;16/03/2020;;A no visitor policy was implemented for correctional facilities and nursing homes statewide;;;Pennsylvania;ban on visit to nursing homes, very large event cancellation or postponement;;;;;;
;;Switzerland;16/03/2020;19/04/2020;"the Federal Council has declared an ""extraordinary situation"" and introduces stringent measures such as closing all shops, restaurants, bars, entertainment and leisure facilities, or carful screening at borders with Austria, Germany and France. The Federal Council has also authorised the deployment of up to 8000 members of the armed forces to assist the cantons at hospitals and with logistics and security.";;;;international traveller screening - all countries;;;;;;
488;;Czechia;16/03/2020;;As of 16 March 2020, all foreigners without permanent or temporary residence for more than 90 days are prohibited from entering the Czech Republic. As of 16 March 2020, citizens of the Czech Republic and foreigners with a permanent or temporary stay of over 90 days are prohibited from leaving the Czech Republic.;;;;international travel ban - all countries;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
;;Belarus;16/03/2020;;Media report (in Google translate says “In total, from the beginning of February, specialists from the RPRC of Epidemiology and Microbiology conducted more than 16 thousand tests for COVID-19”. This specific comment is not clearly attributed to any official source.;;;;testing numbers total;16000;https://ourworldindata.org/coronavirus-testing-source-data;;;;
396;;United States;16/03/2020;30/03/2020;Public health officials on Wednesday issued a moratorium on all large-scale events in San Francisco of >1000 attendees;;San Francisco;California;outdoor gatherings banned;1000;https://www.sfexaminer.com/news/sf-bans-large-events-including-warriors-games-amid-coronavirus-influx/;;;;
192;;Spain;16/03/2020;;Galician elections, scheduled also for 5 April, are delayed until the crisis is overcome.;;;Galicia;elections;;https://elpais.com/espana/2020-03-16/urkullu-aplaza-las-elecciones-vascas-hasta-superar-la-crisis-del-coronavirus.html;;;;
409;;Slovakia;16/03/2020;;The crisis staff will recommend all public transport operators and the owners of public buildings and shops allow entrance only to people wearing some protective equipment that covers their face, i.e. masks or scarfs.;;;;public announcement, public hygiene, public mask encouragement;;https://spectator.sme.sk/c/22360124/number-of-coronavirus-cases-increases-measures-updated.html;;;;
;;Palestine;16/03/2020;;The estimate is provided as a PDF statement. Wikipedia mentions the reported figures, but we could not translate the content to confirm the source;;;;testing numbers total;2519;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;United Arab Emirates;16/03/2020;;The press release, published in Twitter by the official account from the Ministry of Health and Prevention, reads as follows: “To date the UAE has performed over 125,000 test”;;;;testing numbers total;125000;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;Hungary;16/03/2020;;Judgment pause: The government states that the President of the Curia, the President of the National Courts Office and the Attorney General have ordered an extraordinary pause in court judgments.;;;;court cancellation;;http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/;;;;
;;Hungary;16/03/2020;;The Honvéd Hospital will operate as a pre-examination point from Monday onwards. The pre-test consists of a fever check and a questionnaire. Only those who are not suspected of being infected with coronavirus can enter the hospital.;;;;hospital specialisation;1000;http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/;;;;
;;United States;16/03/2020;;"all three MARC commuter rail lines would operate on the ""R"" special schedule, causing fewer trains to run throughout the day";;;Maryland;public transport limited;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Government_response;;;;
;;Hungary;16/03/2020;;Municipalities can decide whether to close or keep open kindergartens within their own local power structure.;;;;nursery school closure;50;http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/;;;;
;;Hungary;16/03/2020;;9:30 pm - March 13: PM Orbán announces that schools will be closed from Monday;;;;school closure;;http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/;;;;
;;United States;16/03/2020;;all 24 public library systems in the state were shut down for a two-week period.;;;Maryland;limited nonessential business suspension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Government_response;;;;
377;;Turkey;16/03/2020;30/04/2020;Sports matches without spectators.;;;;sports cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Turkey;;;;
265;;France;16/03/2020;;France has announced it will also be tightening controls on its border with Germany as of Monday.;;;;international traveller screening - risk countries;;https://www.theguardian.com/world/2020/mar/15/coronavirus-causes-french-voters-to-stay-away-from-municipal-elections;;Germany;;
395;;United States;16/03/2020;06/04/2020;Shelter in place order issued for the Bay Area. Exceptions for necessary services and taking walks while staying at least 6 feet from other residents;;Bay Area;California;blanket isolation - no symptoms;;https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php;;;;
330;;Greece;16/03/2020;;On the same day, two villages in Western Macedonia, Damaskinia and Dragasia, were quarantined after several cases among their residents were confirmed. The entry and exit to and from the villages was banned, allowing only medical staff and municipal staff to supply them with drugs and food.;medical staff and municipal staff to supply them with drugs and food.medical staff and municipal staff to supply them with drugs and food.;;;cluster isolation - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Greece;;;Damaskinia, Dragasia;
