ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;Ireland;27/03/2020;12/04/2020;All visits to hospitals, other residential healcare facilities and prisons will cease, with specific exemptions on compassionate grounds.;;;;ban on visit to nursing homes, prisons closed to visitors, visiting in hospital banned;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
;;United States;27/03/2020;17/04/2020;"all ""non-essential businesses"" in the state were ordered to be closed until April 17,";;;Alabama;general nonessential business suspension;1;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama;;;;
;;United States;27/03/2020;;Governor Baker asked travelers from out of state to avoid Massachusetts or to self-quarantine upon arrival for 14 days;;;Massachussets;voluntary isolation;;;;;;
;;Georgia;27/03/2020;;South Ossetian de facto authorities close down the Kartsmani crossing point in Imereti to prevent Georgians from entering the breakaway republic out of fear for the outbreak.;;;;;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;;;
;;Estonia;27/03/2020;;On 27 March Emergency Committee decided to tighten quarantine rules in Saaremaa and Muhu: majority of shops will be closed and new movement restrictions are introduced.;;Muhu, Saaremaa;;quarantine zone;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia;;;;
;;Namibia;27/03/2020;16/04/2020;The 21-day lockdown will apply to the Khomas and Erongo regions specifically, and the country's borders will also be closed for travellers.;;;Erongo, Khomas;cluster isolation - no symptoms;;https://www.namibian.com.na/89582/read/Partial-lockdown-in-effect-from-Friday;;;;
;;Hong Kong;26/03/2020;;Around 120 people linked to four bars in Lan Kwai Fong and Wan Chai are to be quarantined after 16 coronavirus cases were tied to the entertainment venues.;;;;contact isolation - no symptoms;120;https://news.rthk.hk/rthk/en/component/k2/1517006-20200326.htm;;;;
;;United States;26/03/2020;;"closure of more retail establishments including, bookstores; clothing and shoe stores; jewelry stores; luggage stores; cosmetic, perfume and beauty supply stores; furniture stores; florists; and home furnishing stores. All will close through April 7.";;;Iowa;limited nonessential business suspension;1;https://eu.desmoinesregister.com/story/news/health/2020/03/26/iowa-governor-kim-reynolds-daily-covid-19-news-conference-coronavirus/2914636001/;;;;
;;United States;26/03/2020;;all bussinesses permitted to operate must practice recommended social distancing and hygienic measures;;;Kentucky;social distancing;;https://governor.ky.gov/attachments/20200325_Executive-Order_2020-257_Healthy-at-Home.pdf;;;;
;;United States;26/03/2020;;all non-life-sustaining businesses must cease all in-person services;;;Kentucky;general nonessential business suspension;2;https://governor.ky.gov/attachments/20200325_Executive-Order_2020-257_Healthy-at-Home.pdf;;;;
;;United States;26/03/2020;30/06/2020;Schools for preK-12 students shall remain dismissed for in-person instruction for the remainder of the 2019-2020 school year;;;;remote schooling, school closure;;;;;;
;;United States;26/03/2020;11/04/2020;Govenor Jared Polis put the state of Colorado in complete lock-down, with a stay-at-home order;;;Colorado;blanket curfew - no symptoms;2;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado;;;;
;;United States;26/03/2020;;Gatherings of more than 10 people both indoor and outdoor are prohibited;business, places of worship, government bodies, open spaces like parsk etc.;;Arkansas;indoor gatherings banned, outdoor gatherings banned;10;https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-10._.pdf;;;;
;;United States;26/03/2020;;Gatherings of people exempt from the limit of 10 people (e.g. places of worship) are advised to maintain social distancing of at least 6 feet;;;Arkansas;social distancing advice;;https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-10._.pdf;;;;
;;United States;26/03/2020;;"Cuomo announced that the state would allow two patients to share one ventilator using a technique he called ""splitting"" where a second set of tubes would be added to the ventilator. COVID-19 patients need ventilators for between 11 to 21 days, while under normal circumstances patients usually only require them for three to four days. He also said the state was considering converting anesthesia machines to use as ventilators";;;New York;hospital treatment;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
;;South Africa;26/03/2020;16/04/2020;On 23 March, President Cyril Ramaphosa addressed the nation and announced a 21-day national lockdown effective from midnight 26 March through to 16 April;;;;blanket curfew - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Africa#cite_note-presidency61-5;;;;
;;South Africa;26/03/2020;16/04/2020;On 23 March 2020, Ramaphosa issued a national stay-at-home order lasting 21 days from 26 March 2020 to 16 April 2020.;;;;social distancing;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Africa#cite_note-presidency61-5;;;;
;;Kazakhstan;26/03/2020;;On 26 March, Kazakhstan confirmed the first case of death from COVID-19.;;;;first death;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kazakhstan;;;;
;;Japan;26/03/2020;;Japanese government set up a task force to combat the virus under new legislation- closure of large gathering (including schools)work from home, prioritise hospitalisation bases on severity symptom;;;;public announcement;;https://www.japantimes.co.jp/news/2020/03/26/national/science-health/japan-coronavirus-task-force/#.XoCFGNMzZAY;;;;
;;Singapore;26/03/2020;;Advisory against holding or attending social events with >10 people;;;;outdoor gatherings banned;10;;;;;
;;Singapore;26/03/2020;;Bars and entertainment venues like clubs, cinemas, etc. are closed;;;;limited nonessential business suspension;30;;;;;
;;Singapore;26/03/2020;;All religious services and congregations suspended;;;;religious activity cancellation;;;;;;
;;Singapore;26/03/2020;;All events and mass gatherings (e.g. conferences, exhibitions, festivals, concerts, trade fairs) cancelled;;;;outdoor gatherings banned;500;;;;;
